animal,treatment,series,type,duration,amplitude 
1,1,1,1,,59.1
1,1,1,1,,62.9
1,1,1,2,0.111,72.7
1,1,1,3,0.422,63.1
1,1,1,2,0.148,71.1
1,1,1,3,0.312,64.1
1,1,1,2,0.111,72.6
1,1,1,3,0.335,64.7
1,1,1,2,0.142,71.2
1,1,1,3,0.368,62.9
1,1,1,2,0.123,71.5
1,1,1,3,0.541,60.4
1,1,2,1,,63.2
1,1,2,2,0.121,69.9
1,1,2,3,0.658,59.9
1,1,2,2,0.129,72.2
1,1,2,3,0.489,62.5
1,1,2,2,0.132,73.2
1,1,2,3,0.243,64.7
1,1,2,2,0.146,73.5
1,1,2,3,0.457,62.1
1,1,2,2,0.15,73.4
1,1,2,3,0.592,61.1
1,1,3,1,,64.1
1,1,3,1,,67.9
1,1,3,2,0.175,71.8
1,1,3,3,0.339,66.5
1,1,3,2,0.165,73.6
1,1,3,3,0.375,67.5
1,1,3,2,0.129,74.9
1,1,3,3,0.327,67.6
1,1,3,2,0.133,74.6
1,1,3,3,0.358,65.3
1,1,3,2,0.101,74.6
1,1,3,3,0.642,63.9
1,1,3,2,0.129,73.4
1,1,3,3,0.793,62.8
1,1,3,2,0.162,72.5
1,1,3,3,1.021,61.2
1,1,4,1,,61.9
1,1,4,1,,62.1
1,1,4,2,0.139,75.1
1,1,4,3,0.222,66.1
1,1,4,2,0.124,75.4
1,1,4,3,0.275,66
1,1,4,2,0.139,73.9
1,1,4,3,0.208,66.6
1,1,4,2,0.161,73
1,1,4,3,0.252,65.4
1,1,4,2,0.134,73.5
1,1,4,3,0.383,64.1
1,1,4,2,0.158,75.1
1,1,4,3,0.322,62.9
1,1,5,1,,67.9
1,1,5,2,0.169,72.9
1,1,5,3,0.325,68.6
1,1,5,2,0.114,72.9
1,1,5,3,0.284,69.5
1,1,5,2,0.104,74.1
1,1,5,3,0.314,68.9
1,1,5,2,0.128,74.3
1,1,5,3,0.251,68.7
1,1,5,2,0.114,74.2
1,1,5,3,0.368,65.6
1,1,5,2,0.149,71.4
1,1,5,3,0.359,63.9
1,1,6,1,,67.2
1,1,6,2,0.116,70.4
1,1,6,3,0.345,66.8
1,1,6,2,0.142,74.8
1,1,6,3,0.274,68.9
1,1,6,2,0.091,77.7
1,1,6,3,0.251,69
1,1,6,2,0.088,76.1
1,1,6,3,0.258,66.9
1,1,6,2,0.113,74.9
1,1,6,3,0.319,65.5
1,1,6,2,0.159,72.4
1,1,6,3,1.107,60.5
1,1,6,2,0.15,71.2
1,1,6,3,1.288,59.8
1,1,7,1,,64.5
1,1,7,2,0.15,72.1
1,1,7,3,0.602,62.3
1,1,7,2,0.132,74.2
1,1,7,3,0.412,65
1,1,7,2,0.127,74.9
1,1,7,3,0.413,64.1
1,1,7,2,0.13,74.5
1,1,7,3,0.404,64.3
1,1,7,2,0.166,69.5
1,1,7,3,0.747,61.2
1,1,7,2,0.104,72.6
1,1,7,3,1.027,60.8
1,1,7,2,0.155,70.5
1,1,7,3,1.027,59.4
1,1,7,2,0.158,67.5
1,1,7,3,1.027,60
1,1,8,1,,65.2
1,1,8,1,,69.2
1,1,8,2,0.171,71.2
1,1,8,3,0.298,67.4
1,1,8,2,0.168,72.1
1,1,8,3,0.245,69.2
1,1,8,2,0.15,72.8
1,1,8,3,0.271,67
1,1,8,2,0.134,73.4
1,1,8,3,0.271,66
1,1,8,2,0.1,74
1,1,8,3,0.563,62.8
1,1,8,2,0.159,71.1
1,1,8,3,1.118,60.2
1,1,9,1,,68.2
1,1,9,2,0.163,71.9
1,1,9,3,0.342,66.5
1,1,9,2,0.148,72.7
1,1,9,3,0.245,69.8
1,1,9,2,0.129,74.1
1,1,9,3,0.291,68.6
1,1,9,2,0.127,74.4
1,1,9,3,0.429,65.1
1,1,9,2,0.148,73.8
1,1,9,3,0.539,63.6
1,1,9,2,0.158,70.7
1,1,9,3,1.288,59.4
1,1,10,1,,61.5
1,1,10,1,,67.7
1,1,10,2,0.136,71.6
1,1,10,3,0.374,65.6
1,1,10,2,0.142,72
1,1,10,3,0.351,67.2
1,1,10,2,0.136,72.2
1,1,10,3,0.413,66
1,1,10,2,0.134,73
1,1,10,3,0.316,65.5
1,1,10,2,0.102,74.5
1,1,10,3,0.497,62.8
1,1,10,2,0.111,72.7
1,1,10,3,0.703,61.4
1,1,11,1,,59.3
1,1,11,1,,64
1,1,11,2,0.163,72.3
1,1,11,3,0.41,63.4
1,1,11,2,0.156,72.7
1,1,11,3,0.313,65.6
1,1,11,2,0.143,73.4
1,1,11,3,0.265,65.9
1,1,11,2,0.142,73.1
1,1,11,3,0.323,64.8
1,1,11,2,0.132,73.5
1,1,11,3,0.406,63.7
1,1,11,2,0.111,73.8
1,1,11,3,0.371,61.6
1,1,11,2,0.148,71.8
1,1,11,3,0.859,59.7
1,1,11,2,0.145,64.3
1,1,11,3,0.966,59.3
1,1,12,1,,58.1
1,1,12,1,,64.2
1,1,12,2,0.158,73.6
1,1,12,3,0.412,64.6
1,1,12,2,0.15,73.8
1,1,12,3,0.249,68
1,1,12,2,0.146,74.6
1,1,12,3,0.256,66.9
1,1,12,2,0.139,74.4
1,1,12,3,0.329,64.8
1,1,12,2,0.15,72.9
1,1,12,3,0.281,62.4
1,1,12,2,0.137,73
1,1,12,3,0.496,60.9
1,1,12,2,0.149,71.7
1,1,12,3,0.673,60
1,1,13,1,,62.4
1,1,13,1,,68.9
1,1,13,2,0.168,72.7
1,1,13,3,0.251,68
1,1,13,2,0.146,73.4
1,1,13,3,0.285,68.9
1,1,13,2,0.159,73
1,1,13,3,0.23,68.7
1,1,13,2,0.153,73.3
1,1,13,3,0.269,67.1
1,1,13,2,0.143,73.5
1,1,13,3,0.407,65
1,1,13,2,0.119,73.8
1,1,13,3,0.774,63.1
1,1,14,1,,65.1
1,1,14,1,,67.3
1,1,14,2,0.162,73
1,1,14,3,0.567,64.6
1,1,14,2,0.172,73.4
1,1,14,3,0.284,69.2
1,1,14,2,0.181,73
1,1,14,3,0.31,69
1,1,14,2,0.146,73.7
1,1,14,3,0.278,67.1
1,1,14,2,0.14,73.5
1,1,14,3,0.365,65.3
1,1,14,2,0.1,74
1,1,14,3,0.806,62.3
1,1,14,2,0.134,72.9
1,1,14,3,1.116,59.9
1,1,15,1,,65.9
1,1,15,1,,72.6
1,1,15,2,0.129,74.3
1,1,15,3,0.256,68.5
1,1,15,2,0.116,74.5
1,1,15,3,0.245,69.5
1,1,15,2,0.149,72.9
1,1,15,3,0.219,69.3
1,1,15,2,0.139,72.3
1,1,15,3,0.523,66.1
1,1,15,2,0.116,74.2
1,1,15,3,0.505,65.6
1,1,15,2,0.14,74.5
1,1,15,3,0.64,64.6
1,1,15,2,0.137,73.7
1,1,15,3,0.577,65
1,1,15,2,0.126,75
1,1,15,3,0.891,63.3
1,1,16,1,,69.3
1,1,16,1,,72.9
1,1,16,2,,69.3
1,1,16,3,0.381,63.7
1,1,16,2,0.127,73.8
1,1,16,3,0.265,67.1
1,1,16,2,0.129,74.3
1,1,16,3,0.38,65.3
1,1,16,2,0.142,72.9
1,1,16,3,0.375,64.4
1,1,16,2,0.121,74.6
1,1,16,3,0.319,64.5
1,1,16,2,0.134,72.6
1,1,16,3,0.284,63.5
1,1,16,2,0.148,71.7
1,1,16,3,1.123,60
1,1,17,1,,63.9
1,1,17,1,,68.8
1,1,17,2,0.143,71.8
1,1,17,3,0.298,67.9
1,1,17,2,0.159,71.7
1,1,17,3,0.255,69.9
1,1,17,2,0.158,72.4
1,1,17,3,0.309,67.9
1,1,17,2,0.156,73.5
1,1,17,3,0.301,66.3
1,1,17,2,0.155,73.2
1,1,17,3,0.539,63.1
1,1,17,2,0.129,72.9
1,1,17,3,0.635,62.2
1,1,17,2,0.104,72
1,1,17,3,1.249,59.3
1,1,18,1,,64.6
1,1,18,1,,69.5
1,1,18,2,0.126,72.7
1,1,18,3,0.31,68.4
1,1,18,2,0.149,72.4
1,1,18,3,0.262,68.4
1,1,18,2,0.139,73.6
1,1,18,3,0.313,67.6
1,1,18,2,0.159,73
1,1,18,3,0.349,65.3
1,1,18,2,0.156,73.1
1,1,18,3,0.359,65.2
1,1,18,2,0.155,72.9
1,1,18,3,0.314,65
1,1,19,1,,64.3
1,1,19,1,,68.3
1,1,19,2,0.129,72.9
1,1,19,3,0.277,67.2
1,1,19,2,0.146,72.8
1,1,19,3,0.28,68.6
1,1,19,2,0.126,73.7
1,1,19,3,0.307,68.8
1,1,19,2,0.156,73.7
1,1,19,3,0.267,68.6
1,1,19,2,0.124,73.8
1,1,19,3,0.275,66.1
1,1,19,2,0.13,73.9
1,1,19,3,0.307,63.7
1,1,20,1,,63.6
1,1,20,1,,69
1,1,20,2,0.163,72.1
1,1,20,3,0.29,68.7
1,1,20,2,0.149,73
1,1,20,3,0.332,68.5
1,1,20,2,0.156,74
1,1,20,3,0.268,69.3
1,1,20,2,0.156,73.9
1,1,20,3,0.313,67.4
1,1,20,2,0.123,73.8
1,1,20,3,0.478,63.9
1,1,20,2,0.126,73.9
1,1,20,3,0.583,62.8
1,1,21,1,,63.8
1,1,21,1,,70.3
1,1,21,2,0.145,72.2
1,1,21,3,0.349,67
1,1,21,2,0.132,72.6
1,1,21,3,0.243,69.5
1,1,21,2,0.133,72.7
1,1,21,3,0.287,67.5
1,1,21,2,0.14,71.8
1,1,21,3,0.3,67
1,1,21,2,0.148,72.5
1,1,21,3,0.269,66.5
1,1,21,2,0.148,72.6
1,1,21,3,0.341,63.9
1,1,21,2,0.152,72.5
1,1,21,3,0.664,62.6
1,1,22,1,,65.9
1,1,22,1,,70.7
1,1,22,2,0.188,70.8
1,1,22,3,0.442,67.4
1,1,22,2,0.185,70.8
1,1,22,3,0.284,69.8
1,1,22,2,0.172,71.4
1,1,22,3,0.303,69.2
1,1,22,2,0.159,72.7
1,1,22,3,0.269,69.4
1,1,22,2,0.116,74.3
1,1,22,3,0.272,67.2
1,1,22,2,0.142,74.1
1,1,22,3,0.75,62.9
1,1,22,2,0.121,74.4
1,1,22,2,0.163,73.1
1,1,22,3,0.622,63.8
1,1,23,1,,64.6
1,1,23,1,,68.6
1,1,23,2,0.149,71.7
1,1,23,3,0.359,67.4
1,1,23,2,0.142,72.3
1,1,23,3,0.319,69
1,1,23,2,0.145,72.7
1,1,23,3,0.32,68.4
1,1,23,2,0.155,73.7
1,1,23,3,0.332,67.2
1,1,23,2,0.155,73.7
1,1,23,3,0.378,65
1,1,23,2,0.143,73.1
1,1,23,3,0.4,63.8
1,1,24,1,,64.8
1,1,24,2,0.142,73.1
1,1,24,3,0.477,64.6
1,1,24,2,0.142,72.7
1,1,24,3,0.355,67.6
1,1,24,2,0.139,71.8
1,1,24,3,0.329,68.2
1,1,24,2,0.149,72
1,1,24,3,0.327,67
1,1,24,2,0.159,72.2
1,1,24,3,0.413,65.6
1,1,24,2,0.181,72.6
1,1,24,3,0.429,63.9
1,1,24,2,0.103,73.4
1,1,24,3,0.407,63.6
1,1,25,1,,64.8
1,1,25,1,,68.9
1,1,25,2,0.169,75.4
1,1,25,3,0.275,67.6
1,1,25,2,0.166,74.3
1,1,25,3,0.208,69
1,1,25,2,0.052,77.4
1,1,25,3,0.226,68.1
1,1,25,2,0.126,73
1,1,25,3,0.451,65.3
1,1,25,2,0.143,72.7
1,1,25,3,0.576,63.3
1,1,26,1,,65.4
1,1,26,1,,68.6
1,1,26,2,0.158,70.7
1,1,26,3,0.372,66.6
1,1,26,2,0.161,71.1
1,1,26,3,0.265,68.7
1,1,26,2,0.161,72
1,1,26,3,0.269,68
1,1,26,2,0.145,72.7
1,1,26,3,0.282,67.1
1,1,26,2,0.14,73.9
1,1,26,3,0.428,62.5
1,1,26,2,0.137,72.7
1,1,26,3,0.28,63.9
1,1,27,1,,64.1
1,1,27,1,,68.1
1,1,27,2,0.132,73.4
1,1,27,3,0.274,68.2
1,1,27,2,0.13,73.8
1,1,27,3,0.31,68
1,1,27,2,0.124,74.8
1,1,27,3,0.306,67
1,1,27,2,0.139,74.3
1,1,27,3,0.3,65.9
1,1,27,2,0.168,73.1
1,1,27,3,0.473,63.6
1,1,27,2,0.114,73.1
1,1,27,3,0.439,63.5
1,1,28,1,,63.1
1,1,28,1,,67.2
1,1,28,2,0.158,74.6
1,1,28,3,0.306,67.4
1,1,28,2,0.126,74.3
1,1,28,3,0.297,67.9
1,1,28,2,0.146,73.6
1,1,28,3,0.336,66.9
1,1,28,2,0.148,73.2
1,1,28,3,0.329,66.8
1,1,28,2,0.172,72.7
1,1,28,3,0.558,63.2
1,1,28,2,0.148,72.1
1,1,28,3,0.972,59.9
1,1,29,1,,65
1,1,29,1,,70.5
1,1,29,2,0.171,71.4
1,1,29,3,0.303,69
1,1,29,2,0.12,74.6
1,1,29,3,0.301,67.5
1,1,29,2,0.161,72.7
1,1,29,3,0.222,68.6
1,1,29,2,0.119,74.1
1,1,29,3,0.313,66
1,1,29,2,0.114,74.3
1,1,29,3,0.552,64.9
1,1,29,2,0.121,73.7
1,1,29,3,0.689,63.5
1,1,29,2,0.169,73.6
1,1,29,3,0.335,64.9
1,1,29,2,0.161,73.5
1,1,29,3,1.159,60.1
1,1,30,1,,66.5
1,1,30,1,,71.1
1,1,30,2,0.172,71.3
1,1,30,3,0.239,70
1,1,30,2,0.168,71.4
1,1,30,3,0.19,71
1,1,30,2,0.172,72.2
1,1,30,3,0.235,70.1
1,1,30,2,0.168,72.4
1,1,30,3,0.275,69.3
1,1,30,2,0.116,74.5
1,1,30,3,0.259,67
1,1,30,2,0.104,74.7
1,1,30,3,0.423,63.8
1,1,30,2,0.15,72.2
1,1,30,3,0.609,62.8
1,1,30,2,0.158,72.9
1,1,30,3,0.415,62.4
1,1,31,1,,64.5
1,1,31,1,,70
1,1,31,2,0.137,72.5
1,1,31,3,0.227,70.7
1,1,31,2,0.137,72.4
1,1,31,3,0.222,69.8
1,1,31,2,0.155,72.9
1,1,31,3,0.229,70.7
1,1,31,2,0.153,74.1
1,1,31,3,0.342,65.3
1,1,31,2,0.132,72
1,1,31,3,0.29,64.1
1,1,31,2,0.111,73.7
1,1,31,3,0.864,61.2
1,1,32,1,,64
1,1,32,2,0.15,74.4
1,1,32,3,0.317,68.1
1,1,32,2,0.139,74.9
1,1,32,3,0.303,67.9
1,1,32,2,0.113,75.7
1,1,32,3,0.372,65.9
1,1,32,2,0.145,74.1
1,1,32,3,0.33,65.4
1,1,32,2,0.155,73.4
1,1,32,3,0.296,64.3
1,1,32,2,0.132,73.8
1,1,32,3,0.602,60.8
1,1,32,2,0.165,73.3
1,1,32,3,0.744,59.6
1,1,33,1,,68.3
1,1,33,2,0.158,74.8
1,1,33,3,0.474,65.8
1,1,33,2,0.158,73.2
1,1,33,3,0.288,67.2
1,1,33,2,0.126,74.4
1,1,33,3,0.236,68
1,1,33,2,0.158,74.6
1,1,33,3,0.314,67.3
1,1,33,2,0.148,74.5
1,1,33,3,0.406,65.1
1,1,33,2,0.146,74.4
1,1,33,3,0.551,63.8
1,1,33,2,0.162,73.5
1,1,33,3,1.037,61.7
1,1,34,1,,64.8
1,1,34,1,,70
1,1,34,2,0.123,73.3
1,1,34,3,0.245,70.5
1,1,34,2,0.126,72.9
1,1,34,3,0.245,70.2
1,1,34,2,0.139,72.7
1,1,34,3,0.216,70.8
1,1,34,2,0.127,73.8
1,1,34,3,0.275,69.2
1,1,34,2,0.153,73.8
1,1,34,3,0.314,66.2
1,1,34,2,0.155,73.7
1,1,34,3,0.571,63.5
1,1,35,1,,64.4
1,1,35,1,,69.9
1,1,35,2,0.121,73.2
1,1,35,3,0.245,70.5
1,1,35,2,0.126,72.9
1,1,35,3,0.245,70.2
1,1,35,2,0.139,72.7
1,1,35,3,0.216,70.7
1,1,35,2,0.126,73.8
1,1,35,3,0.251,69.4
1,1,35,2,0.153,73.8
1,1,35,3,0.316,66
1,1,35,2,0.155,73.7
1,1,35,3,0.571,63.3
1,1,36,1,,66
1,1,36,1,,69.6
1,1,36,2,0.148,73.5
1,1,36,3,0.341,67.8
1,1,36,2,0.134,73.3
1,1,36,3,0.227,72.7
1,1,36,2,0.133,74.3
1,1,36,3,0.336,70
1,1,36,2,0.158,74.2
1,1,36,3,0.236,69.7
1,1,36,2,0.162,74.4
1,1,36,3,0.325,67.2
1,1,36,2,0.116,75
1,1,36,3,0.31,66
1,1,37,1,,66.5
1,1,37,1,,70.4
1,1,37,2,0.158,72.1
1,1,37,3,0.29,70.3
1,1,37,2,0.142,72.3
1,1,37,3,0.262,69.8
1,1,37,2,0.143,73.5
1,1,37,3,0.301,70.1
1,1,37,2,0.127,75
1,1,37,3,0.297,68.3
1,1,37,2,0.159,74.4
1,1,37,3,0.338,66.3
1,1,37,2,0.111,74.6
1,1,37,3,0.613,63.3
1,1,38,1,,58.3
1,1,38,1,,68.2
1,1,38,1,,72.8
1,1,38,2,0.175,72.5
1,1,38,3,0.371,64
1,1,38,2,0.174,72.9
1,1,38,3,0.28,65.7
1,1,38,2,0.166,72.3
1,1,38,3,0.467,62.2
1,1,38,2,0.088,75
1,1,38,3,0.316,62.2
1,1,39,1,,67.9
1,1,39,2,0.166,72.1
1,1,39,3,0.493,66.2
1,1,39,2,0.166,71.9
1,1,39,3,0.24,71.4
1,1,39,2,0.113,73.4
1,1,39,3,0.259,70.4
1,1,39,2,0.15,73.6
1,1,39,3,0.253,68.1
1,1,39,2,0.108,75.2
1,1,39,3,0.397,65.3
1,1,39,2,0.11,75.6
1,1,39,3,0.943,62.1
1,1,39,2,0.15,73.3
1,1,39,3,1.288,61.4
1,1,39,2,0.153,74.8
1,1,39,3,1.288,59.9
1,1,40,1,,68
1,1,40,2,0.145,74.2
1,1,40,3,0.298,68.3
1,1,40,2,0.124,74.6
1,1,40,3,0.285,70.5
1,1,40,2,0.145,74.1
1,1,40,3,0.33,68.7
1,1,40,2,0.184,73.5
1,1,40,3,0.394,67
1,1,40,2,0.162,74.1
1,1,40,3,0.274,66.9
1,1,40,2,0.133,74.6
1,1,40,3,0.873,63.7
1,1,40,2,0.087,76.2
1,1,40,3,1.282,60.1
1,1,41,1,,63.9
1,1,41,1,,69
1,1,41,1,,71.2
1,1,41,2,0.152,72.4
1,1,41,3,0.272,70.5
1,1,41,2,0.149,71.7
1,1,41,3,0.272,70.1
1,1,41,2,0.148,72
1,1,41,3,0.316,69
1,1,41,2,0.165,72.5
1,1,41,3,0.4,66.1
1,1,41,2,0.153,74.2
1,1,41,3,0.505,64.8
1,1,41,2,0.114,75.1
1,1,41,3,0.925,62.3
1,1,41,2,0.172,72.4
1,1,41,3,1.05,59.9
1,1,42,1,,67.7
1,1,42,1,,71.5
1,1,42,2,0.177,71.3
1,1,42,3,0.277,70.6
1,1,42,2,0.171,71.4
1,1,42,3,0.277,70.9
1,1,42,2,0.146,72.2
1,1,42,3,0.262,70.7
1,1,42,2,0.166,72.9
1,1,42,3,0.208,67.8
1,1,42,2,0.114,75.4
1,1,42,3,0.567,63.8
1,1,42,2,0.112,73
1,1,42,3,0.808,62.3
1,1,43,1,,65.2
1,1,43,1,,70.4
1,1,43,2,0.172,71.7
1,1,43,3,0.294,68.7
1,1,43,2,0.172,71.4
1,1,43,3,0.258,70.9
1,1,43,2,0.145,72
1,1,43,3,0.248,70.7
1,1,43,2,0.169,73
1,1,43,3,0.303,67.5
1,1,43,2,0.108,75.7
1,1,43,3,0.396,64.4
1,1,43,2,0.127,74.1
1,1,43,3,0.473,64
1,1,43,2,0.159,72.3
1,1,43,3,1.288,59.5
1,1,44,1,,60.8
1,1,44,1,,64.5
1,1,44,2,0.143,73.5
1,1,44,3,0.358,64
1,1,44,2,0.132,73.6
1,1,44,3,0.264,66.6
1,1,44,2,0.103,75.4
1,1,44,3,0.29,64.6
1,1,44,2,0.134,73.4
1,1,44,3,0.262,65.5
1,1,44,2,0.153,73.1
1,1,44,3,0.256,64
1,1,44,2,0.159,72.4
1,1,44,3,0.751,59.3
1,1,45,1,,60.5
1,1,45,1,,65.4
1,1,45,1,,67.1
1,1,45,2,0.161,74.3
1,1,45,3,0.269,66.2
1,1,45,2,0.162,74.2
1,1,45,3,0.288,66.6
1,1,45,2,0.148,76.6
1,1,45,3,0.312,65.9
1,1,45,2,0.113,77.3
1,1,45,3,0.412,63.2
1,1,45,2,0.136,75
1,1,45,3,0.464,62.4
1,1,46,1,,61.1
1,1,46,1,,65.3
1,1,46,2,0.145,72.7
1,1,46,3,0.278,64.7
1,1,46,2,0.161,72.1
1,1,46,3,0.268,67.8
1,1,46,2,0.158,72.1
1,1,46,3,0.255,67
1,1,46,2,0.104,74.8
1,1,46,3,0.239,65.5
1,1,46,2,0.168,71.8
1,1,46,3,0.416,62.3
1,1,46,2,0.159,71.7
1,1,46,3,0.693,60.2
1,1,47,1,,60.3
1,1,47,1,,67.7
1,1,47,2,0.121,74.3
1,1,47,3,0.301,66.7
1,1,47,2,0.162,73.2
1,1,47,3,0.281,67.6
1,1,47,2,0.105,75.3
1,1,47,3,0.256,66.9
1,1,47,2,0.108,75.2
1,1,47,3,0.28,66.2
1,1,47,2,0.162,73.9
1,1,47,3,0.403,64
1,1,47,2,0.123,74.2
1,1,47,3,0.391,62.3
1,0,48,1,,58.9
1,0,48,1,,64.3
1,0,48,1,,69.6
1,0,48,2,0.134,75
1,0,48,3,0.306,66.3
1,0,48,2,0.13,75
1,0,48,3,0.239,67.5
1,0,48,2,0.13,73.8
1,0,48,3,0.235,66.2
1,0,48,2,0.113,73.3
1,0,48,3,0.322,64.1
1,0,49,1,,64.2
1,0,49,1,,67.1
1,0,49,1,,70.7
1,0,49,2,0.117,73.5
1,0,49,3,0.278,65.6
1,0,49,2,0.133,73
1,0,49,3,0.224,67.5
1,0,49,2,0.139,73.7
1,0,49,3,0.287,66.2
1,0,49,2,0.137,72.1
1,0,49,3,0.371,62.4
1,0,50,1,,59.8
1,0,50,1,,68.4
1,0,50,1,,71.5
1,0,50,2,0.149,72.8
1,0,50,3,0.233,66.4
1,0,50,2,0.155,71.8
1,0,50,3,0.256,65.9
1,0,50,2,0.156,71.6
1,0,50,3,0.203,66.9
1,0,50,2,0.165,70.7
1,0,50,3,0.386,64.1
1,0,51,1,,63.2
1,0,51,1,,70.3
1,0,51,1,,71
1,0,51,2,0.15,72.1
1,0,51,3,0.211,65.6
1,0,51,2,0.155,71.4
1,0,51,3,0.253,65.8
1,0,51,2,0.145,71.6
1,0,51,3,0.327,63.9
1,0,51,2,0.142,72.6
1,0,51,3,0.371,62.4
1,0,52,1,,64.2
1,0,52,1,,69.3
1,0,52,1,,70.5
1,0,52,2,0.161,75.5
1,0,52,3,0.245,67.7
1,0,52,2,0.129,76.6
1,0,52,3,0.248,68.6
1,0,52,2,0.175,75.2
1,0,52,3,0.261,67.1
1,0,52,2,0.107,75.3
1,0,52,3,0.284,64.7
1,0,52,2,0.129,73.9
1,0,52,3,0.287,65.2
1,0,52,2,0.11,75.3
1,0,52,3,0.375,62.6
1,0,53,1,,64.5
1,0,53,1,,70
1,0,53,1,,70.1
1,0,53,2,0.146,76.1
1,0,53,3,0.284,68.8
1,0,53,2,0.136,75.8
1,0,53,3,0.246,70.4
1,0,53,2,0.136,76.1
1,0,53,3,0.281,68.9
1,0,53,2,0.166,73.5
1,0,53,3,0.371,65.2
1,0,53,2,0.163,72.9
1,0,53,3,0.523,62.6
1,0,54,1,,69.9
1,0,54,1,,71.3
1,0,54,2,0.158,74.3
1,0,54,3,0.229,69.9
1,0,54,2,0.098,77.1
1,0,54,3,0.193,71.2
1,0,54,2,0.177,73.3
1,0,54,3,0.346,65.9
1,0,54,2,0.171,72.9
1,0,54,3,0.303,65.7
1,0,55,1,,60.4
1,0,55,1,,64.3
1,0,55,2,0.113,76.9
1,0,55,3,0.187,69.9
1,0,55,2,0.123,76
1,0,55,3,0.213,69.7
1,0,55,2,0.094,75.9
1,0,55,3,0.267,66.2
1,0,55,2,0.139,73.1
1,0,55,3,0.346,64.2
1,0,55,2,0.137,73.3
1,0,55,3,0.342,63.1
1,0,56,1,,70.2
1,0,56,1,,71.7
1,0,56,2,0.126,74.9
1,0,56,3,0.232,69.3
1,0,56,2,0.127,75.5
1,0,56,3,0.235,69.7
1,0,56,2,0.091,76.1
1,0,56,3,0.325,67.7
1,0,56,2,0.158,73.1
1,0,56,3,0.277,66.3
1,0,56,2,0.095,73.3
1,0,56,3,0.403,63.6
1,0,57,1,,66.3
1,0,57,1,,69.2
1,0,57,2,0.175,71.8
1,0,57,3,0.397,66.2
1,0,57,2,0.165,71.8
1,0,57,3,0.245,68.3
1,0,57,2,0.127,73.4
1,0,57,3,0.251,67.7
1,0,57,2,0.139,72.7
1,0,57,3,0.281,66.1
1,0,57,2,0.166,70.8
1,0,57,3,0.519,61.9
1,0,58,1,,66.9
1,0,58,1,,71.2
1,0,58,2,0.137,73.6
1,0,58,3,0.274,66.5
1,0,58,2,0.136,72.1
1,0,58,3,0.236,66.2
1,0,58,2,0.11,74.1
1,0,58,3,0.191,66.3
1,0,58,2,0.127,74.9
1,0,58,3,0.357,63.8
1,0,58,2,0.15,71.8
1,0,58,3,0.436,62.3
1,0,59,1,,59.7
1,0,59,1,,65.1
1,0,59,1,,67.6
1,0,59,1,,70
1,0,59,2,0.155,73.5
1,0,59,3,0.255,67.8
1,0,59,2,0.156,72.5
1,0,59,3,0.272,67.8
1,0,59,2,0.137,73
1,0,59,3,0.352,65.1
1,0,59,2,0.146,72.6
1,0,59,3,0.403,62.2
1,0,60,1,,62.2
1,0,60,1,,64.9
1,0,60,1,,70.4
1,0,60,1,,71.9
1,0,60,2,0.153,76.7
1,0,60,3,0.243,70.7
1,0,60,2,0.165,76.7
1,0,60,3,0.194,71.2
1,0,60,2,0.133,77.2
1,0,60,3,0.304,70.7
1,0,60,2,0.137,77.6
1,0,60,3,0.28,69.1
1,0,60,2,0.127,78.1
1,0,60,3,0.355,66.5
1,0,61,1,,60.8
1,0,61,1,,68.5
1,0,61,1,,70.3
1,0,61,2,0.148,76.8
1,0,61,3,0.304,68.6
1,0,61,2,0.149,76.9
1,0,61,3,0.258,69.2
